baud,downlink_drift,alive,uplink_drift,invert,citation,description,type,norad_cat_id,uuid,mode,mode_id,service,downlink_high,uplink_high,downlink_low,updated,uplink_low,uplink_mode,status
9600.0,null,true,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=609,Mode U GFSK9k6,Transmitter,44426,zbmwJ8brZEFmHPqvYGfdwZ,GFSK,75,Unknown,null,null,435500000,2019-07-02T14:48:22.815324Z,null,null,active
null,null,false,null,false,https://satrevolution.com/wp-content/uploads/2019/07/Komunikacja-ze-%C5%9Awiatowidem-i-KRAKsatem-002.pdf,Mode S GFSK,Transmitter,44426,PdqejDU8NkGgqbfL6xAd95,GFSK,75,Unknown,null,null,2435000000,2019-07-02T14:50:47.331472Z,null,null,inactive
1200.0,null,true,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=609,Mode U AFSK1k2,Transmitter,44426,S2U7PbMuRdnyRwUPKbidDM,AFSK,49,Unknown,null,null,435500000,2019-07-02T14:50:47.333505Z,null,null,active
9600.0,null,false,null,false,www.kraksat.space,Mode U GFSK9k6,Transmitter,44427,fDqbVYJnysxzYCrYPfg9AU,GFSK,75,Unknown,null,null,435500000,2019-07-03T15:45:26.980011Z,null,null,invalid
9600.0,null,true,null,false,https://www.csut.eu/en/recevoir-entrysat/,UHF Beacon and Telemetry,Transmitter,44429,CFfAcDHjeQBQi9aXQV278f,BPSK,50,Unknown,null,null,436950000,2019-07-03T18:08:19.483223Z,null,null,active
4800.0,2291,true,null,false,https://network.satnogs.org/observations/794787/,GMSK4k8 TLM,Transmitter,43805,tuskQRiEw5yMwZHtFeonQG,GMSK,63,Unknown,null,null,436500000,2019-07-04T16:48:03.205088Z,null,null,active
9600.0,null,true,null,false,Personal Communication- Anders Jorgensen,VHF beacon every 10min- G3RUH,Transceiver,99944,ypimKvjncX43vX6FYuRY5d,GFSK,75,Unknown,null,null,148800000,2019-07-04T16:58:18.600856Z,431800000,GFSK,active
1200.0,3088,true,null,false,1200 baud fix,Mode U TLM,Transmitter,20442,ZAKErADdWKpMiDjvKKhmmB,BPSK,50,Unknown,null,null,437125000,2019-07-04T17:31:47.468297Z,null,null,active
null,null,true,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=660,Mode Ku OQPSK 20mbps,Transmitter,99812,emPGkcxAQdhcxyi2rW3kA6,OQPSK,76,Unknown,null,null,10460000000,2019-07-04T21:45:48.036299Z,null,null,active
9600.0,null,true,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=660,Mode U GFSK9k6 AX.25 TLM,Transmitter,99812,6vhMbP32NwNpX27wc7zZbf,GFSK,75,Unknown,null,null,435450000,2019-07-04T21:45:48.043491Z,null,null,active
9600.0,null,true,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=660,Mode U GMSK9k6 AX.25 TLM,Transmitter,99812,zVuNDnRZaHtFY49D28oQR4,GMSK,63,Unknown,null,null,435450000,2019-07-04T21:45:48.046287Z,null,null,active
